iter	Logloss
0	0.6853273542
1	0.6776625232
2	0.6701484463
3	0.6627808113
4	0.6555561706
5	0.64847051
6	0.6415201953
7	0.6347017258
8	0.6280116859
9	0.6214469021
10	0.6150041991
11	0.6086805489
12	0.6024730285
13	0.5963788146
14	0.5903949207
15	0.5845192275
16	0.578748927
17	0.5730814843
18	0.5675146475
19	0.5620460413
20	0.5566734293
21	0.5513946446
22	0.546207588
23	0.5411102245
24	0.5361005811
25	0.5311766505
26	0.526336667
27	0.5215789215
28	0.5169015746
29	0.5123029278
30	0.5077813309
31	0.503335181
32	0.49896292
33	0.4946630334
34	0.4904340483
35	0.4862744136
36	0.4821828369
37	0.4781581157
38	0.4741987938
39	0.4703035862
40	0.4664712413
41	0.4627005402
42	0.4589902953
43	0.4553393492
44	0.451746574
45	0.44821087
46	0.444731165
47	0.4413064132
48	0.4379355944
49	0.4346177133
50	0.4313517985
51	0.4281367944
52	0.4249719925
53	0.4218563795
54	0.4187890728
55	0.4157692101
56	0.4127959493
57	0.4098684674
58	0.4069857773
59	0.4041472741
60	0.401352371
61	0.3985999514
62	0.3958894636
63	0.3932203728
64	0.3905917933
65	0.388003037
66	0.3854532381
67	0.382942121
68	0.38046885
69	0.3780327935
70	0.3756331328
71	0.3732694615
72	0.3709413871
73	0.368647927
74	0.3663889165
75	0.3641635969
76	0.3619714219
77	0.3598116447
78	0.3576841618
79	0.3555882489
80	0.353523185
81	0.3514889076
82	0.3494847166
83	0.3475101363
84	0.3455644753
85	0.3436477246
86	0.3417591459
87	0.3398984315
88	0.3380650821
89	0.3362586735
90	0.3344787892
91	0.3327250205
92	0.3309967216
93	0.3292939864
94	0.3276161848
95	0.325962937
96	0.3243338698
97	0.3227285613
98	0.3211467639
99	0.3195880673
