iter	Passed	Remaining
0	160	15909
1	267	13098
2	384	12433
3	542	13009
4	670	12737
5	783	12268
6	905	12024
7	1029	11836
8	1146	11588
9	1255	11302
10	1366	11055
11	1464	10739
12	1565	10474
13	1656	10178
14	1765	10004
15	1876	9849
16	1982	9679
17	2085	9499
18	2177	9285
19	2289	9156
20	2391	8997
21	2486	8816
22	2581	8643
23	2679	8483
24	2782	8347
25	2882	8203
26	2985	8072
27	3083	7928
28	3175	7774
29	3273	7638
30	3380	7523
31	3486	7407
32	3583	7275
33	3675	7134
34	3767	6997
35	3871	6882
36	3970	6760
37	4071	6642
38	4172	6526
39	4268	6403
40	4359	6273
41	4469	6172
42	4574	6063
43	4673	5948
44	4773	5834
45	4869	5715
46	4973	5608
47	5084	5507
48	5183	5395
49	5293	5293
50	5394	5183
51	5496	5073
52	5598	4964
53	5693	4850
54	5795	4741
55	5898	4634
56	5990	4519
57	6104	4420
58	6203	4310
59	6303	4202
60	6396	4089
61	6499	3983
62	6615	3885
63	6722	3781
64	6820	3672
65	6917	3563
66	7014	3455
67	7127	3353
68	7234	3250
69	7330	3141
70	7428	3034
71	7531	2928
72	7629	2821
73	7739	2719
74	7835	2611
75	7935	2506
76	8051	2405
77	8153	2299
78	8279	2200
79	8384	2096
80	8478	1988
81	8575	1882
82	8681	1778
83	8800	1676
84	8900	1570
85	9005	1465
86	9106	1360
87	9204	1255
88	9322	1152
89	9419	1046
90	9514	941
91	9609	835
92	9714	731
93	9835	627
94	9940	523
95	10043	418
96	10151	313
97	10253	209
98	10368	104
99	10474	0
